0, 0, 0
1.57023, -2.83936, 0
-1.9319, -1.63454, 0
-6.644198, -0.8763378, 0
-11.80147, 0.8907186, 0
-17.30809, 4.397605, 0
-23.77162, 7.26636, 0
-23.54681, 10.0645, 0
-21.08547, 11.6134, 0
-26.96209, 10.8795, 0
-30.34491, 16.7922, 0
-34.48768, 22.0735, 0
-36.02431, 26.4996, 0
-39.52907, 31.9074, 0
-40.92835, 37.0225, 0
-41.06016, 34.7041, 0
-38.10371, 28.1720, 0
-37.41779, 21.9083, 0
-33.96888, 10.6994, 0
-33.62355, 5.15632, 0
-31.74989, -3.1290, 0
-31.69005, -10.16389, 0
-30.44519, -14.28841, 0
-31.29243, -19.95613, 0
-30.18064, -23.43129, 0
-27.79829, -21.03006, 0
