label,rssi,euclid,rssival
0,3271700.57950762,18.0277563773199,-184.319095939411
0,5000000,22.3606797749979,-188.582310375432
0,5000000,30.4138126514911,-193.013128263071
0,2857195.15716311,16.5529453572468,-183.142423027763
0,4270668.8148567,19.723082923316,-186.633542795487
0,5000000,27.459060435492,-191.364251771298
0,2850974.35363156,16.4924225024706,-183.123491132267
0,3572953.54943688,17.8044938147649,-185.084172323902
0,5000000,24.738633753706,-189.699988509314
0,2740350.81344865,16.0312195418814,-182.779748196283
0,2846756.06741032,15.556349186104,-183.110630020011
0,4858410.15227159,21.8403296678416,-187.753508433543
0,2782449.00274718,16.1245154965971,-182.912169185914
0,2297050.62142672,13.6014705087354,-181.247036242912
0,3797812.48538037,18.9736659610103,-185.614295279183
0,2976992.40011136,16.7630546142402,-183.499179439927
0,1926905.06710505,12.0830459735946,-179.720831296594
0,2897801.27448081,16.1554944214035,-183.26499690283
0,3067088.41063278,17,-183.758150820104
0,1529099.24938723,10.1980390271856,-177.712338423343
0,2059694.34460323,13,-180.299680451625
0,3563925.64437602,18.6010752377383,-185.062197612907
0,1526941.35739632,10.0498756211209,-177.700072084501
0,1484370.1174649,10.295630140987,-177.454468976623
0,3972270.72519324,19.7989898732233,-186.004401713647
0,1521448.21192226,9.8488578017961,-177.668768403713
0,993670.459431774,7.21110255092798,-173.96847250066
0,4546202.36917275,21.4009345590327,-187.176600200112
0,1723233.75737391,10.6301458127347,-178.750508794367
0,694675.495006747,4.24264068711929,-170.859264505146
0,5000000,25,-189.492865465606
0,2626106.73282412,14.142135623731,-182.409872383703
0,789205.910383036,5,-171.967431501646
0,5000000,27.459060435492,-190.944606374595
0,3350003.12973632,16.4012194668567,-184.524529176475
0,916150.060028234,5.8309518948453,-173.262957208822
0,5000000,30.5286750449475,-192.598190809993
0,4450544.12931724,19.4164878389476,-186.991887153665
0,1322986.44963609,8.48528137423857,-176.454732842066
0,5000000,29.9666481275434,-192.332974545863
0,4241134.17303028,18.7882942280559,-186.573265162342
0,1215553.53310093,7.61577310586391,-175.719106720424
0,5000000,28.7923600977759,-191.737651957592
0,3875538.00690831,17.7200451466694,-185.790264927284
0,1148382.31185249,7,-175.225354812628
0,5000000,29.8328677803526,-192.321279767459
0,4429285.59901137,19.1049731745428,-186.950298608272
0,1599098.18716119,9.48683298050514,-178.101127539631
0,5000000,30.2654919008431,-192.575506590978
0,4826085.5183197,20.0249843945008,-187.695525187888
0,2083197.68326078,11.6619037896906,-180.398234599079
0,5000000,30.0166620396073,-192.478103647932
0,5000000,20.3960780543711,-188.016609627577
0,2544320.64411428,13.4536240470737,-182.135061755405
0,5000000,30.0665927567458,-192.535671671631
0,5000000,21.1896201004171,-188.624331082542
0,3175411.19549341,15.6204993518133,-184.059624353643
0,5000000,32.1403173599764,-193.580064290664
0,5000000,23.4093998214392,-190.118832150318
0,3859723.400075,17.6918060129541,-185.754748578505
0,3271700.57950762,18.0277563773199,-184.319095939411
0,5000000,22.3606797749979,-188.582310375432
0,5000000,30.4138126514911,-193.013128263071
0,2778177.98275591,16.2788205960997,-182.898826224526
0,5000000,22.1359436211787,-188.43978553628
0,5000000,31.0644491340181,-193.370668892992
0,2263648.88291777,14.2126704035519,-181.119806197805
0,4955271.89718413,21.3775583264319,-187.924974707699
0,5000000,31.0161248385416,-193.364753423257
0,1650785.99704878,11.3137084989848,-178.377440446477
0,3757343.16518653,18.2482875908947,-185.521242157013
0,5000000,28.0713376952364,-191.767014335232
0,1467919.96105422,10.295630140987,-177.357672443723
0,2852081.46013259,15.52417469626,-183.126863431371
0,5000000,25.0199920063936,-189.93084813733
0,1159337.63025031,8.24621125123532,-175.307823572944
0,1994877.00741713,12.369316876853,-180.021947416178
0,5000000,22.0907220343745,-188.008342379968
0,1291832.60188179,9.05538513813742,-176.247749733002
0,1436558.19214509,9.8488578017961,-177.170089382933
0,3851201.17632027,19.0262975904404,-185.735549032611
0,1773221.28198917,11.7046999107196,-178.99888362113
0,1186868.49399679,8.48528137423857,-175.511676949657
0,2879855.03089228,16.0312195418814,-183.211037447886
0,1901434.61276108,12.2065556157337,-179.605252827445
0,822359.737718509,5.8309518948453,-172.324861707996
0,2081690.27489939,13,-180.391947187091
0,2356117.76907589,14.142135623731,-181.467564812876
0,755728.113314023,5,-171.590936489036
0,1448070.43997707,10,-177.239418685099
0,2959435.37849641,16.4012194668567,-183.447802146229
0,882050.953568642,5.8309518948453,-172.933498397161
0,980293.140689777,7,-173.85074419699
0,3752445.41759456,19.1049731745428,-185.509912596768
0,1351989.19126567,8.94427190999916,-176.643089312348
0,930355.903654626,6.70820393249937,-173.396607277516
0,4344409.52836012,20.8086520466848,-186.782240071739
0,1575940.80757536,9.89949493661167,-177.974422947651
0,650899.516170789,3.60555127546399,-170.293903895363
0,4452218.50383862,21.0237960416286,-186.995154326581
0,1610371.19253176,9.8488578017961,-178.162144780567
0,586797.134908899,1.4142135623731,-169.393384614824
0,5000000,23.7697286480094,-188.815992842678
0,2285469.87012025,12.6491106406735,-181.203134926115
0,654480.20459871,2.23606797749979,-170.341555229336
0,5000000,26.2488094968134,-190.333963274033
0,3072069.48780598,15.2970585407784,-183.772245618385
0,941764.534373008,5.3851648071345,-173.502471549943
0,5000000,29.732137494637,-192.238755370556
0,4234037.87423011,18.6815416922694,-186.558719691812
0,1308269.04340994,8,-176.357566223548
0,5000000,32.5729949498047,-193.674750040464
0,5000000,21.5870331449229,-188.708529172251
0,1898539.5298922,11,-179.592017803093
0,5000000,34.928498393146,-194.798942815795
0,5000000,24.1867732448956,-190.469359322715
0,2705625.67129398,14.142135623731,-182.668979139157
0,5000000,34.3656805548792,-194.563156479407
0,5000000,24,-190.390400284803
0,2931058.74841418,14.8660687473185,-183.364115386319
0,5000000,34.0587727318528,-194.445088593276
0,5000000,24.1867732448956,-190.54758970034
0,3328894.34110793,16.1245154965971,-184.469625138883
0,5000000,36.0138862107382,-195.352372389917
0,5000000,26.6833281282527,-192.087207118464
0,4481549.9185189,19.4164878389476,-187.052189685956
0,5000000,36.2215405525497,-195.466815838842
0,5000000,27.5136329843952,-192.591554078528
0,5000000,21.2602916254693,-188.36901452686
0,5000000,33.3766385365573,-194.188082397375
